"member_casual","months","number_of_rides","percentage_ride"
"casual","January  ","39242","0.70%"
"member","January  ","147129","2.62%"
"casual","February ","42181","0.75%"
"member","February ","144325","2.57%"
"casual","March    ","60883","1.08%"
"member","March    ","191834","3.41%"
"casual","April    ","143942","2.56%"
"member","April    ","272814","4.85%"
"casual","May      ","229471","4.08%"
"member","May      ","363602","6.47%"
"casual","June     ","295480","5.26%"
"member","June     ","411791","7.33%"
"casual","July     ","325089","5.78%"
"member","July     ","429220","7.64%"
"casual","August   ","305723","5.44%"
"member","August   ","453677","8.07%"
"casual","September","257111","4.57%"
"member","September","399431","7.11%"
"casual","October  ","174122","3.10%"
"member","October  ","355421","6.32%"
"casual","November ","96834","1.72%"
"member","November ","260888","4.64%"
"casual","December ","50862","0.90%"
"member","December ","170287","3.03%"
