"member_casual","hours","number_of_rides","percentage_rides"
"casual",0,"36117","50.88%"
"member",0,"34871","49.12%"
"casual",1,"23373","52.96%"
"member",1,"20757","47.04%"
"casual",2,"14127","54.05%"
"member",2,"12011","45.95%"
"casual",3,"7764","49.85%"
"member",3,"7812","50.15%"
"casual",4,"5835","40.33%"
"member",4,"8634","59.67%"
"casual",5,"11242","25.07%"
"member",5,"33596","74.93%"
"casual",6,"29679","22.27%"
"member",6,"103607","77.73%"
"casual",7,"52181","21.39%"
"member",7,"191777","78.61%"
"casual",8,"69572","22.43%"
"member",8,"240566","77.57%"
"casual",9,"68789","29.78%"
"member",9,"162227","70.22%"
"casual",10,"85086","36.77%"
"member",10,"146304","63.23%"
"casual",11,"108513","38.48%"
"member",11,"173482","61.52%"
"casual",12,"128414","39.51%"
"member",12,"196592","60.49%"
"casual",13,"134026","40.69%"
"member",13,"195396","59.31%"
"casual",14,"139890","41.35%"
"member",14,"198411","58.65%"
"casual",15,"156277","39.18%"
"member",15,"242560","60.82%"
"casual",16,"179161","35.45%"
"member",16,"326255","64.55%"
"casual",17,"195661","33.89%"
"member",17,"381620","66.11%"
"casual",18,"169006","35.83%"
"member",18,"302677","64.17%"
"casual",19,"124857","36.82%"
"member",19,"214271","63.18%"
"casual",20,"90227","37.68%"
"member",20,"149222","62.32%"
"casual",21,"75803","39.55%"
"member",21,"115869","60.45%"
"casual",22,"67072","43.68%"
"member",22,"86471","56.32%"
"casual",23,"48268","46.55%"
"member",23,"55431","53.45%"
